PermitNum,PermitClass,WorkClass,Condominium,ProjectName,Description,TCAD_ID,PropertyLegalDescription,AppliedDate,IssuedDate,CalendarYearIssued,StatusCurrent,StatusDate,ExpiresDate,CompletedDate,TotalExistingBldgSQFT,TotalJobValuation,NumberOfFloors,HousingUnits,OriginalAddress1,OriginalZip,CouncilDistrict,Link,ProjectID,MasterPermitNum,Latitude,Longitude,Location,ContractorCompanyName,ContractorPhone
2010-083044 BP,R- 645 Demolition One Family Homes,Demolition,No,84 PASCAL LN,Demolish a circa 1990 2 story 9051 square foot single family residence,127230303,LOT 66 BLK E ROB ROY PHS 2,9/24/2010,9/24/2010,2010,VOID,10/25/2013,3/23/2011,,"9,051",0,2,1,84 PASCAL LN,78746,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10495372,10495372,10495360,30.32484113,-97.8274146,"(30.32484113, -97.8274146)",Absolute Demolition,5129181989
2010-084050 BP,R- 645 Demolition One Family Homes,Demolition,No,1901 ALEGRIA RD,Repermitting for expired demolition permit number 2009113954BP  Demolish a circa 1948 1 story 800 square foot single family residence,232040715,LOT 15 BLK C BURNET HEIGHTS,9/28/2010,9/30/2010,2010,Final,10/25/2010,10/25/2010,10/25/2010,800,0,1,1,1901 ALEGRIA RD,78757,7,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10496540,10496540,10496534,30.33625584,-97.73556309,"(30.33625584, -97.73556309)",Spring Builders LLC,5127910078
2010-084146 BP,R- 646 Demolition Two Family Bldgs,Demolition,No,2509 HARRIS BLVD,Demolish a circa 1936 1 story 3192 square foot duplex,116001501,LOT 2 BLK 10  S 10FT OF LT 1 PEMBERTON HEIGHTS SEC 2LOT 1 N56FT NW 56X20FT OF LOT 2 BLK 4 PEMBERTON HEIGHTS SEC 1,5/26/2010,9/29/2010,2010,Final,9/7/2011,9/7/2011,9/7/2011,"3,192","7,000.00",1,2,2509 HARRIS BLVD,78703,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10496636,10496636,10444562,30.29370663,-97.75565793,"(30.29370663, -97.75565793)",DAR Construction,5124534646
2010-087153 BP,R- 645 Demolition One Family Homes,Demolition,No,1403 PAYNE AVE,Demolish a circa 1949 1 story 1544 square foot single family residence,231050414,LOT 2  E15FT OF LOT 3 BLK M VIOLET CROWN HEIGHTS SEC 2 RESUB,9/3/2010,10/8/2010,2010,Final,10/18/2010,10/18/2010,10/18/2010,"1,544","7,500.00",1,1,1403 PAYNE AVE,78757,7,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10500722,10500722,10486585,30.33583305,-97.72990517,"(30.33583305, -97.72990517)",Southwest Destructors****MAIN***,5129179511
2010-087737 BP,R- 645 Demolition One Family Homes,Demolition,No,107 BRUSHY ST,Demolish a circa 1930 1 story 830 square foot single family residence,204050601,S 525FT OF LOT 12 BLK 4 OLT 17 DIV O HARRINGTON SUBD,10/1/2010,10/11/2010,2010,Final,10/18/2011,10/18/2011,10/18/2011,830,0,1,1,107 BRUSHY ST,78702,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10501422,10501422,10497904,30.26143058,-97.73518746,"(30.26143058, -97.73518746)",Capital Demolition,5123018330
2010-087803 BP,R- 645 Demolition One Family Homes,Demolition,No,818 PATTON AVE,Demolish a circa 1946 1 story 1219 square foot single family residence,307200508,LOT 3 BLK 1 BERGSTROM DOWNS NO 1,10/11/2010,10/18/2010,2010,Final,11/16/2010,11/16/2010,11/16/2010,"1,219","4,500.00",1,1,818 PATTON AVE,78742,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10501489,10501489,10501487,30.23195566,-97.68219228,"(30.23195566, -97.68219228)",AAR Inc.,5127786800
2010-088208 BP,R- 645 Demolition One Family Homes,Demolition,No,7603 MEADOR AVE,Demolition permit for a circa 1930 1 story 1088 square foot single family residence that was demolished without a permit to remedy code violations that were present  STRUCTURE ALREADY DEMOLISHED,231180311,LOT 2 BLK 27 BLACK A K SUBD NO 2,9/29/2010,10/29/2010,2010,Final,11/1/2010,11/1/2010,11/1/2010,0,0,1,1,7603 MEADOR AVE,78752,4,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10501950,10501950,10497110,30.33380065,-97.69292305,"(30.33380065, -97.69292305)",,5124135567
2010-088532 BP,R- 645 Demolition One Family Homes,Demolition,No,2836 SALADO ST,Demolish a circa 1939 1 story 1024 square foot single family residence,216010811,LOT 5 BLK 4 OLT 69 DIV D BYRNES JAMES SUBD,8/4/2010,10/13/2010,2010,Expired,4/12/2011,4/11/2011,,"1,024","5,000.00",1,1,2836 SALADO ST,78705,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10502294,10502294,10474370,30.29619886,-97.74517025,"(30.29619886, -97.74517025)","Cutsinger Custom Homes, Inc.",5125157888
2010-088624 BP,R- 645 Demolition One Family Homes,Demolition,No,3311 CLEARVIEW DR,Repermitting for expired permit number 2007149783BP  Demolish a ca 1950 SingleFamily Residence  STRUCTURE ALREADY DEMOLISHED,116080218,LOT 8A BLK 4 TOBIN  JOHNSON SUBD AMENDED PLAT OF LOTS 78 BLK 4,10/13/2010,10/13/2010,2010,Final,2/9/2011,2/9/2011,2/9/2011,0,0,1,1,3311 CLEARVIEW DR,78703,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10502394,10502394,10502392,30.29671012,-97.77667355,"(30.29671012, -97.77667355)",Melde Construction Company (Main),5122361032
2010-088835 BP,R- 645 Demolition One Family Homes,Demolition,No,3607 CONVICT HILL RD,Demolish a dilapidated residence  storage structure per court order,414270405,ABS 2 SUR 17 ANDERSON T ACR 0608,10/8/2010,10/15/2010,2010,Final,8/1/2014,8/1/2014,8/1/2014,"2,042","3,000.00",1,1,3607 CONVICT HILL RD,78749,8,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10502630,10502630,10501117,30.21058872,-97.83473563,"(30.21058872, -97.83473563)",CAPITOL AREA BRANCH 201,5126563226
2010-089135 BP,R- 645 Demolition One Family Homes,Demolition,No,1620 HASKELL ST,Demolish a circa 1927 1 story 840 square foot single family residence,201060113,LOT 2 OLT 58 DIV O PAYNE  WILEY SUBD,9/13/2010,11/23/2010,2010,Expired,5/23/2011,5/22/2011,,840,0,1,1,1620 HASKELL ST,78702,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10502980,10502980,10489526,30.25354472,-97.72906038,"(30.25354472, -97.72906038)","Berlin Builders, Inc.",5123891893
2010-089426 BP,R- 645 Demolition One Family Homes,Demolition,No,1133 MASON AVE,Demolish a circa 1953 1 story 504 square foot single family residence  SMART HOUSING,209191517,LOT 2 BLK 6 MASONFIELD,9/13/2010,1/13/2011,2011,Final,1/21/2011,1/21/2011,1/21/2011,504,"4,000.00",1,1,1133 MASON AVE,78721,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10503312,10503312,10489537,30.27451909,-97.68479103,"(30.27451909, -97.68479103)","Ilcor Homes, Inc.",5124767568
2010-089600 BP,R- 645 Demolition One Family Homes,Demolition,No,7226 COMANCHE TRL,Demolish a circa 1959 1 story 1023 square foot frame and cinder block single family residence,162480106,LOT 9 COMANCHE VILLAGE ABS 709 SUR 700 STEWART J ACR 477 BELOW 715' CONTOUR,9/21/2010,10/15/2010,2010,Final,1/7/2011,1/7/2011,1/7/2011,"1,023",0,1,1,7226 COMANCHE TRL,78732,6,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10503497,10503497,10493537,30.42066696,-97.89551385,"(30.42066696, -97.89551385)",Custom Homecrafters of Austin,5128459839
2010-091692 BP,R- 645 Demolition One Family Homes,Demolition,No,3409 WINDY HARBOR DR,Demolish a circa 1993 2 story 3115 square foot single family residence  FIRE DAMAGEDVoided permit new permit issued refer to pmt 2011044209BP,150550136,LOT 15 BLK B WINDMILL BLUFF ESTATES,10/19/2010,10/22/2010,2010,VOID,5/23/2011,4/20/2011,,"3,115",0,2,1,3409 WINDY HARBOR DR,78734,,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10506609,10506609,10505375,30.387659,-97.91663234,"(30.387659, -97.91663234)","Lakeside Additions, INC.",5127856529
2010-091879 BP,R- 645 Demolition One Family Homes,Demolition,No,3405 RIVER RD,Demolish a circa 1959 1 story 2370 square foot single family residence,120070312,LOT 31 TARRYTOWN RIVER OAKS,10/18/2010,10/22/2010,2010,Final,11/15/2010,11/15/2010,11/15/2010,"2,370",0,1,1,3405 RIVER RD,78703,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10506816,10506816,10504088,30.30635844,-97.77268714,"(30.30635844, -97.77268714)",DAR Demolition,5124534646
2010-092720 BP,R- 645 Demolition One Family Homes,Demolition,No,5611 BURROUGH CV,Demolish a circa 1972 1 story 2512 square foot single family residence,412150436,LOT 3 BLK T CHERRY CREEK PHS II SEC 5,10/19/2010,1/3/2011,2011,Expired,7/3/2011,7/2/2011,,"2,512","6,368.00",1,1,5611 BURROUGH CV,78745,5,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10507761,10507761,10505415,30.22018877,-97.80733746,"(30.22018877, -97.80733746)","Sisk-Robb, Incorporated",5122607171
2010-092727 BP,R- 645 Demolition One Family Homes,Demolition,No,5605 BURROUGH CV,Demolish a circa 1972 1 story 2149 square foot single family residence,412150439,LOT 6 BLK T CHERRY CREEK PHS II SEC 5,10/19/2010,1/3/2011,2011,Expired,7/3/2011,7/2/2011,,"2,149","3,095.00",1,1,5605 BURROUGH CV,78745,5,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10507777,10507777,10505414,30.22090991,-97.80722676,"(30.22090991, -97.80722676)","Sisk-Robb, Incorporated",5122607171
2010-092733 BP,R- 645 Demolition One Family Homes,Demolition,No,5604 BAYTON LOOP,Demolish a circa 1973 2 story 2893 square foot single family residence,412150444,LOT 11 BLK T CHERRY CREEK PHS II SEC 5,10/19/2010,1/3/2011,2011,Expired,7/3/2011,7/2/2011,,"2,893","3,255.00",2,1,5604 BAYTON LOOP,78745,5,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10507783,10507783,10505417,30.22157126,-97.80798853,"(30.22157126, -97.80798853)","Sisk-Robb, Incorporated",5122607171
2010-093366 BP,R- 645 Demolition One Family Homes,Demolition,No,2914 ELLON RD,Demolish a badly fire damaged manufactured home,316360227,LOT 53B GLENBROOK ADDN RESUB PT SEC 1  2TITLE CANCELED TO REAL ESTATE,10/28/2010,10/28/2010,2010,Final,1/6/2011,1/6/2011,1/6/2011,"1,904","1,000.00",1,1,2914 ELLON RD,78617,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10508503,10508503,10508500,30.20763273,-97.64269472,"(30.20763273, -97.64269472)",,5122177579
2010-095759 BP,R- 646 Demolition Two Family Bldgs,Demolition,No,310 W ALPINE RD,Demolish a duplex already demolished Original permit expired before any inspections took place This permit is being pulled in order to have a final inspection performedrefer 2005009117BP,407031401,,10/28/2010,11/5/2010,2010,Final,11/5/2010,11/5/2010,11/5/2010,"1,000","1,000.00",1,2,310 W ALPINE RD,78704,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10511933,10511933,10508871,30.22944983,-97.76368839,"(30.22944983, -97.76368839)","BCC Sycamore, LLC.",5124744000
2010-008403 BP,R- 645 Demolition One Family Homes,Demolition,No,1212 W 9TH ST,Demolish a circa 1917 single family residence  1216 square foot  1 story w basementVoided permit new permit issued refer to pmt 2010068637BP,110020622,S714 FT OF LOT 5 BLK 3 OLT 4 DIV Z HANCOCK SUBD,12/18/2009,2/9/2010,2010,VOID,8/10/2010,8/8/2010,,0,"8,000.00",1,1,1212 W 9TH ST,78703,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10394850,10394850,10379402,30.27596463,-97.75690803,"(30.27596463, -97.75690803)",,5124788126
2010-008495 BP,R- 645 Demolition One Family Homes,Demolition,No,303 W ANNIE ST,Repermitting for expired permit number 07128765BP  Demolish a circa 1940 SF residence ALREADY DEMOLISHED and new residence almost finished,402010210,W 59FT OF LOT 12 BLK 4B NEWNING  WARNERS SUBD,2/1/2010,2/1/2010,2010,Final,6/17/2010,6/17/2010,6/17/2010,"1,100","1,000.00",1,1,303 W ANNIE ST,78704,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10394953,10394953,10394889,30.24659042,-97.75372884,"(30.24659042, -97.75372884)",,5126945436
2010-008629 BP,R- 645 Demolition One Family Homes,Demolition,No,2106 KINNEY AVE,Demolish a circa 1928 1 story 765 square foot single family residence,100061208,LOT 67 BLK C OAK HILL ADDN,12/23/2009,2/1/2010,2010,Final,8/13/2010,8/13/2010,8/13/2010,756,"6,000.00",1,1,2106 KINNEY AVE,78704,5,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10395152,10395152,10381519,30.24905297,-97.7704972,"(30.24905297, -97.7704972)",,5125150705
2010-008887 BP,R- 645 Demolition One Family Homes,Demolition,No,1008 W 22ND ST,See building permit 2010025813BP for construction of a new 2story single family residence JMM 8292011 Demolish a circa 1927 1 story 1167 square foot single family residence,113000816,LOT 6 OLT 31 DIV D PETERSON SUBD,11/16/2009,2/3/2010,2010,VOID,8/29/2011,8/2/2010,,"1,167","4,000.00",1,1,1008 W 22ND ST,78705,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10395480,10395480,10366916,30.28574663,-97.74893969,"(30.28574663, -97.74893969)",Tia Rose LLC,5124178408
2010-009891 BP,R- 645 Demolition One Family Homes,Demolition,No,7316 DIXIE DR,Demolish a circa 1982 1 story 1205 square foot single family residence,330030440,LOT 35 BLK E YARRABEE BEND SOUTH SEC 1,2/2/2010,2/5/2010,2010,Final,6/21/2010,6/21/2010,6/21/2010,"1,501","4,800.00",1,1,7316 DIXIE DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10396659,10396659,10395298,30.16758884,-97.74452823,"(30.16758884, -97.74452823)",AAR Inc.,5127786800
2010-010482 BP,R- 645 Demolition One Family Homes,Demolition,No,6817 SPRUCE GUM LN,Demolish mobile home,426030701,LOT 8 BLK W SOUTH CREEKSOUTH SEC 1,2/2/2010,2/8/2010,2010,VOID,12/6/2011,8/7/2010,,924,"3,000.00",1,1,6817 SPRUCE GUM LN,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10398105,10398105,10395336,30.18365006,-97.76703691,"(30.18365006, -97.76703691)",Corky's,5128442225
2010-010559 BP,R- 645 Demolition One Family Homes,Demolition,No,6213 FELIX AVE,Demolish a circa 1947 1 story 808 square foot single family residence,305160801,,6/9/2009,2/8/2010,2010,VOID,2/11/2013,8/7/2010,,808,500,1,1,6213 FELIX AVE,78741,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10398187,10398187,10291548,30.23536168,-97.69730271,"(30.23536168, -97.69730271)",,5123679378
2010-011319 BP,R- 645 Demolition One Family Homes,Demolition,No,4611 LAUREL CANYON DR,Demolish a circa 1958 2 story 2651 square foot single family residence,129050305,LOT 11 BLK P RESUB OF PT OF BLKS PC HIGHLAND PARK WEST,2/4/2010,2/10/2010,2010,Final,8/9/2010,8/9/2010,8/9/2010,"2,651",0,2,1,4611 LAUREL CANYON DR,78731,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10399121,10399121,10396473,30.32874967,-97.76653816,"(30.32874967, -97.76653816)",,5124500005
2010-014147 BP,R- 645 Demolition One Family Homes,Demolition,No,6109 CLUB TER,Demolish a circa 1959 1 story 840 square foot single family residence,306150309,LOT 20 PFEIFER PAUL ADDN,1/25/2010,3/26/2010,2010,Final,5/14/2010,5/14/2010,5/14/2010,840,0,1,1,6109 CLUB TER,78741,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10402817,10402817,10392553,30.23452195,-97.70006864,"(30.23452195, -97.70006864)","Ilcor Homes, Inc.",5124767568
2010-014160 BP,R- 645 Demolition One Family Homes,Demolition,No,1111 VARGAS RD,Demolish a circa 1950 1 story 720 square foot single family residence,307170720,LOT 6 BLK 5 CHERNOSKY NO 15,1/25/2010,3/26/2010,2010,Final,4/6/2010,4/6/2010,4/6/2010,720,"1,500.00",1,1,1111 VARGAS RD,78741,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10402832,10402832,10392548,30.23071226,-97.69590296,"(30.23071226, -97.69590296)","Ilcor Homes, Inc.",5124767568
2010-014871 BP,R- 645 Demolition One Family Homes,Demolition,No,1604 BAUERLE AVE,Demolish a circa 1948 1 story 816 square foot single family residence,100060917,E 195 FT OF LOT 31  W 329 FT OF LOT 32 BLK B WEST END ADDN,2/16/2010,3/11/2010,2010,Final,6/25/2010,6/25/2010,6/25/2010,816,"20,000.00",1,1,1604 BAUERLE AVE,78704,5,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10403692,10403692,10400650,30.25175623,-97.76910757,"(30.25175623, -97.76910757)",David Weekley Homes,5128218885
2010-015070 BP,R- 645 Demolition One Family Homes,Demolition,No,821 PATTON AVE,Demolish a circa 1950 1 story 1360 square foot single family residence,307200315,LOT 2 BLK 2 BERGSTROM DOWNS NO 1,2/16/2010,3/1/2010,2010,Expired,8/29/2010,8/28/2010,,"1,360","4,800.00",1,1,821 PATTON AVE,78742,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10403903,10403903,10400591,30.231572,-97.68199377,"(30.231572, -97.68199377)",AAR Inc.,5127786800
2010-015586 BP,R- 645 Demolition One Family Homes,Demolition,No,1605 MAPLE AVE,Demolish a circa 1927 1 story 695 square foot single family residence and 2 detached sheds,210111004,LOT 9 BLK 11 OLT 3233 DIV B GLENWOOD ADDN,2/16/2010,2/25/2010,2010,Final,8/12/2010,8/12/2010,8/12/2010,695,"3,500.00",1,1,1605 MAPLE AVE,78702,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10404533,10404533,10400571,30.27793667,-97.71552091,"(30.27793667, -97.71552091)",B & C Constructors,5127845806
2010-015812 BP,R- 645 Demolition One Family Homes,Demolition,No,1117 SAUCEDO ST,Repermitting for expired permit number 08039322BP  Demolish a circa 1952 1 story 960 square foot single family residence,206180908,LOT 1 BLK D SPRINGDALE ADDN,2/25/2010,2/26/2010,2010,Final,4/19/2010,4/19/2010,4/19/2010,960,0,1,1,1117 SAUCEDO ST,78721,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10404805,10404805,10404796,30.26666704,-97.68959762,"(30.26666704, -97.68959762)",Philip Hogan Inc DBA Hogan Demolition Co.,5124746516
2010-016373 BP,R- 645 Demolition One Family Homes,Demolition,No,811 PATTON AVE,Demolish a circa 1956 1 story 1532 square foot single family residence,307200320,LOT 7 BLK 2 BERGSTROM DOWNS NO 1,2/26/2010,3/1/2010,2010,Expired,8/29/2010,8/28/2010,,"1,532","4,800.00",1,1,811 PATTON AVE,78742,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10405432,10405432,10405417,30.23213614,-97.6813448,"(30.23213614, -97.6813448)",AAR Inc.,5127786800
2010-016985 BP,R- 645 Demolition One Family Homes,Demolition,No,1507 LUPINE LN,Demolish a circa 1929 2 story 2160 square foot single family residence  Residence is now accessory structure due to change of use  Use will be converted back to primary res once house is built,303050215,LOT 9 BLK 10 BELLVUE PARK PLUS 12 ADJ VAC ALLEY,1/11/2010,3/2/2010,2010,Final,6/22/2010,6/22/2010,6/22/2010,"1,800","5,000.00",2,1,1507 LUPINE LN,78741,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10406129,10406129,10386021,30.24443657,-97.73371236,"(30.24443657, -97.73371236)",Austin Habitat for Humanity,5124728788
2010-017649 BP,R- 645 Demolition One Family Homes,Demolition,No,11506 HEATHROW DR,Demolish a circa 1979 1 story 1868 square foot single family residence  FIRE DAMAGED  Foundation and flat work to remain for future new construction,166090610,LOT 10 BLK O BARRINGTON OAKS SEC 6,3/3/2010,3/3/2010,2010,Final,3/9/2010,3/9/2010,3/9/2010,"1,868",0,1,1,11506 HEATHROW DR,78759,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10406897,10406897,10406889,30.42966584,-97.77760274,"(30.42966584, -97.77760274)","Baker Custom Homes, Inc",5124510348
2010-018715 BP,R- 645 Demolition One Family Homes,Demolition,No,1616 E 7TH ST,Demolish a circa 1935 1 story 1140 square foot single family residence ALREADY DEMOLISHED,205081709,LOT 2 BLK 2 OLT 6 RESUB DIVISION B,2/12/2010,3/9/2010,2010,Final,3/15/2010,3/15/2010,3/15/2010,"1,140",500,1,1,1616 E 7TH ST,78702,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10408608,10408608,10400192,30.26375439,-97.72461854,"(30.26375439, -97.72461854)",,5124726123
2010-020168 BP,R- 645 Demolition One Family Homes,Demolition,No,1000 MORROW ST,Demolish a circa 1946 1 story 1037 square foot single family residence,235100619,E 544FT OF LOT 30 BLK B NORTHGATE ADDN,2/22/2010,3/10/2010,2010,Final,6/2/2010,6/2/2010,6/2/2010,"1,037",0,1,1,1000 MORROW ST,78757,7,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10410292,10410292,10402749,30.3453291,-97.71729122,"(30.3453291, -97.71729122)",,5126192504
2010-020576 BP,R- 645 Demolition One Family Homes,Demolition,No,401 ZENNIA ST,Demolish a circa 1947 1 story 2156 square foot single family residence,224070710,LOT 6263 KOENIG PLACE,3/3/2010,3/11/2010,2010,Final,5/5/2010,5/5/2010,5/5/2010,"2,156",0,1,1,401 ZENNIA ST,78751,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10410777,10410777,10406634,30.31759326,-97.72654872,"(30.31759326, -97.72654872)",DAR Construction,5124534646
2010-024487 BP,R- 645 Demolition One Family Homes,Demolition,No,4506 SHOALWOOD AVE,Demolish a circa 1948 1 story 1032 square foot single family residence  work has gone beyond remodel  addition  Project is now considered total demo  new construction,225020809,LOT 4  N 25FT OF LOT 3 BLK 20 ROSEDALE F,2/22/2010,3/25/2010,2010,Final,12/14/2012,12/14/2012,12/14/2012,"1,032","8,000.00",1,1,4506 SHOALWOOD AVE,78756,7,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10416526,10416526,10403055,30.31765379,-97.74501007,"(30.31765379, -97.74501007)",Spring Branch Investments,5123508135
2010-025243 BP,R- 645 Demolition One Family Homes,Demolition,No,1805 CLIFFORD AVE,Demolish a circa 1950 1 story 816 square foot single family residence,212130211,S 5225FT OF N1045'OF W945' LOT 15 OLT 28 DIVISION B,3/15/2010,5/12/2010,2010,Final,5/24/2010,5/24/2010,5/24/2010,816,0,1,1,1805 CLIFFORD AVE,78702,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10417400,10417400,10411830,30.28114751,-97.7073783,"(30.28114751, -97.7073783)","Ilcor Homes, Inc.",5124767568
2010-025253 BP,R- 645 Demolition One Family Homes,Demolition,No,6104 CADDIE ST,Demolish a circa 1950 1 story 624 square foot single family residence,308140116,LOT 28 BLK 1 ANGELL C L SUBD,3/15/2010,5/4/2010,2010,Final,5/14/2010,5/14/2010,5/14/2010,624,0,1,1,6104 CADDIE ST,78741,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10417410,10417410,10411852,30.22851598,-97.70425797,"(30.22851598, -97.70425797)","Ilcor Homes, Inc.",5124767568
2010-027037 BP,R- 645 Demolition One Family Homes,Demolition,No,2209 E CESAR CHAVEZ ST,Repermitting for expired permit number 1987012720BP  Residence was demolished but did not receive required  final inspection,201090605,LOT 4 BLK A OLT 39 DIV O DRIVING PARK ADDN,3/31/2010,3/31/2010,2010,Final,4/1/2010,4/1/2010,4/1/2010,0,0,1,1,2209 E CESAR CHAVEZ ST,78702,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10419684,10419684,10419671,30.25529807,-97.720079,"(30.25529807, -97.720079)",,5129196192
2010-027431 BP,R- 646 Demolition Two Family Bldgs,Demolition,No,825 PATTON AVE,Demolish a circa 1983 1 story 2678 square foot duplex,307200327,LOT H RESUB OF LT 1 BLK 2 BERGSTROM DOWNS NO 1,3/29/2010,4/13/2010,2010,Expired,10/11/2010,10/10/2010,,"2,678",0,1,2,825 PATTON AVE,78742,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10420203,10420203,10418884,30.23127467,-97.68224582,"(30.23127467, -97.68224582)",AAR Inc.,5127786800
2010-027435 BP,R- 645 Demolition One Family Homes,Demolition,No,810 PATTON AVE,Demolish a circa 1958 1 story 1363 square foot single family residence,307200504,LOT 7 BLK 1 BERGSTROM DOWNS NO 1,3/29/2010,4/13/2010,2010,Expired,10/11/2010,10/10/2010,,"1,363",0,1,1,810 PATTON AVE,78742,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10420207,10420207,10418877,30.2324124,-97.68166979,"(30.2324124, -97.68166979)",AAR Inc.,5127786800
2010-027916 BP,R- 645 Demolition One Family Homes,Demolition,No,5203 SHOAL CREEK BLVD,Demolish a circa 1948 1 story 2281 square foot single family residence,228020425,LOT 5 BLK 14 SHOALMONT ADDN SEC 4,4/2/2010,4/2/2010,2010,Final,4/14/2010,4/14/2010,4/14/2010,"2,281",0,1,1,5203 SHOAL CREEK BLVD,78756,7,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10420827,10420827,10420821,30.32694965,-97.7449953,"(30.32694965, -97.7449953)",,5124225825
2010-028514 BP,R- 645 Demolition One Family Homes,Demolition,No,10 SCOTT CRES,Demolish a circa 1947 1 story 1946 square foot single family residence and hot tub with with deck,117020907,LOT 128 TARRYTOWN OAKS,4/1/2010,4/6/2010,2010,Final,6/4/2010,6/4/2010,6/4/2010,"1,946","13,800.00",1,1,10 SCOTT CRES,78703,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10422941,10422941,10420316,30.29876054,-97.76025187,"(30.29876054, -97.76025187)",FIELDING CONSTRUCTION,5127848840
2010-028710 BP,R- 645 Demolition One Family Homes,Demolition,No,406 W MARY ST,Repermitting for expired permit number 2009049753BP  Demolish a circa 1935 1 story 740 square foot single family residence  STRUCTURE ALREADY DEMOLISHED AND NEW HOUSE BUILT,402010221,LOT 14 BLK 4B NEWNING  WARNERS SUBD,4/6/2010,4/6/2010,2010,Final,4/8/2010,4/8/2010,4/8/2010,740,0,1,1,406 W MARY ST,78704,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10423159,10423159,10423147,30.24647808,-97.75511617,"(30.24647808, -97.75511617)",Pure Design Build,5125852010
