CalendarYearIssued,Description
2015,Interior remodel  Partial Demolition  New windows and doors  Expanding back door from 3068 to 5068 double french door  Expanding stoop new kitchen new siding new roof new plumbing new electric new hvac remove old water heater install tankless water heater outside install washerdryer hookups  Remove wall between kitchen and dining room
2015,Partial demolitionadd of new covered front porch dining room and laundry room expansion add of two bedrooms master bathroom and expansion of one existing bedroom and two uncovered wood decks Remodel existing storutility room to create a breakfast room and add utility room Create open garage and ucovered front porch Repermit 07139843 BPEPPP
2015,Partial demolition at rear of existing non complying residence for new front porch addition Addition new front porch Repair and replacement of siding at primary residence
2015,Partial demolition at rear of residence for new addition  Addition to include new master bedroom with master bath kitchen extension screen porch and new carport at side of residence Interior remodel to accommodate new addition Trade permits as required for work above
2015,Partial demo of exsting 1story single family residence for a garage conversion into a laundry room a pantry and a den existing covered back patio to be enclosed and open into the existing interior of the home
2015,Partial demo for addition 1st floor extention of masterbedroom and extension of livingroom new stairs 2nd story addition of office use
2015,Partial demo of the rear of the home for additon and portion of wall for new window New closet addition w new supply and lighting and power Remove wall at mbath and WIC to create a larger bath new tub vanisty new flooring and windows Relocate existing supplies  mbed and bath
2015,Interior remodel  Partial demolition  Enclosing of the existing foyer unconditioned and enclosing to become air conditioned space  Partial roof demolition and construction of new roof above new family area and new bedroom 4 with a full bathroom 4  New construction will be construction with wood studs and structural beams
2015,partial demoraise celings and change rooflinesminor framing and bath remodel front and back patio add
2015,Interior remodel  Partial demolition  Install new carpet tile and wood flooring  Repair damaged drywall paint ceilings and walls  replace kitchen and bathroom cabinets  Replace a sliding glass door Replace appliances  Add recessed lighting additional wall plugs and ceiling fans  Upgrade electrical panel  Remove a portion of wall between kitchen and living room  Remove a portion of wall on either side of fireplace to create a fixed glass opening
2015,Partial demolition Addition of a dining area and master bedroom to existing 1 story SF res
2015,Partial demo for addition Addremodel master bedroom laundry room and 1 12 bath addition covered patio
2015,Partial demolition of existing residence for remodel and second floor addition Interior remodel of first floor to accommodate second floor addition and extension within garage footprint for new laundry area Second floor additions to include new bedrooms and bathrooms
2015,Partial Demo Int Remodel on 2 story SFR includes wall reconfiguration for ground floor and upper floor for kitchen living room and master bath improvements  upgrades includes window and door replacements and electrical mechanical and plumbing work
2015,Partial demolition to maintain front porch and front portion of house and back wood deck demolish remainder of home per BOA variance Construct covered side porch open livingkitchendining fireplace and powder room on 1st floor stairs to 2nd floor bath work studio and bdrm with balcony Trellis above balcony Stairs to habitable attic space w HVAC closet New 17 ft curb cut with private paved driveway for 2 uncovd parking spaces
2015,Partial demo of existing deck  stairwell Addition of an uncovered 2nd FL wood deck in front of existing 2 story SF res
2015,partial demoaddition to 4 story house on first floor interior finishes and nonload bearing walls are to be remodeled in two bedrooms 15 bathrooms and living room Add will be office and laundry room within existing building footpring and a bedroom partially in existing footprint
2015,partial demoaddition of 4th bedroom 3rd bathroom closet and wd hook up
2015,Partial demo walls for addition Additionremodel to duplexaddition of roomstudio additionremodel to the kitchen and bedroom new wood deck and steps to grade reframe roof above unit A new enclosed stroage area on unit B New parking area
2015,partial demoaddition to expand kitchen living room and master suite to rear of residence
2015,Partial demo new window new door Additionremodel kitchen and bath remodel convert garage to add master bedrmbath sliding glass doors at rear of resREVISION remove garage conversion keep garage remove sliding glass doors at rear of res
2015,Partial demo to remove existing carport cover due to major deterioration  Addresses expired permit  1988003983 BP Add To Res To Create A Carport
2015,Partial demolition  Additionremodel of existing single family residence  Add 2 bedrooms 1 bath
2015,Partial demo to remove existing front porch Addition to add 504 sq ft of covered front porch  to existing 2 story SF res Reference PR 2015119741 RA Repermit 2009132761 2010102692 2010073811
2015,Partial demo of window to add door bathroom addition22616  Tree inspection failed  Tree has multiple limbs that have not been pruned properly by a Certified Arborist
2015,Partial demolition replace existing patio roof and install pool deck
2015,Partial Demo and Interior Remodel  Include work from expired permit 2000012605 BP Enclosing Exst Garage To Create  OfficeMusic Room BathAdd Tub To Exst BathHvac  Convert former garage conversion from expired permit back into a garage  Remodel Kitchen Baths Laundry Room and Living Room replace some doors and windows  Reconvert 2 7'x8' walls back to garage doors
2015,Partial demolition to remove attached garage porch columns rear deck Remodel and addition to exst 1 story sf res to add rear deck create WD closet reconfig bathroom and kitchen
2015,Partial Demo to remove unpermitted extension at rear of house and as noted on plans plus larger front door and larger back window  Interior Remodel Kitchen and Bathrooms  Remove cupboardsclosets from Den  New exterior doors where addition is to be removed
2015,Partial demolition and Interior Remodel at Master Bath  Enlarge window opening at rear wall and convert door to window for Master Bath renovation  Existing noncomplying residence in front setback not affected by work in this permit
2015,Partial Demolition and Interior Remodel  Remove  replace windows  Remove door at front entry  close wall  Remodel existing Utility Kitchen Baths
2015,Partial demo for addition Addingremodel master suite and larger kitchenliving area
2015,Partial demo to remove existing roof of covered patio and enclose area in similar footprint of patio with balcony above
2015,Partial demolition and addition at rear of SFRES
2015,Partial demolitionremove back deck and replace with breakfastsitting area sunroom enlarge master suite and remodel living roomkitchen area
2015,Partial demo of existing 2story single family residence for a rear covered patio addition and 2nd floor master closet addition and balcony off the master bedroom  Interior remodel scope of work to include new large windows at rear first floor space reconfiguration 2nd floor closet reconfiguration and existing bathroom reconfigurations
2015,Partial Demolition and Interior Remodel  Add builtin cabinetry in living room and family room  New wood floors  New kitchen cabinets  Repair  replacement of front porch floor  columns roof to remain  After exterior repairs exterior elevation  footprint will not change  Roll in expired permit 2011074593 BP foundation repair to existing sf res
2015,Partial demolition of sfres for new addition  remove roof decking rail and enclosure of porch bathroom and utility area remodel and addition of new master suite above existing garage
2015,Partial demolition of existing legal noncompliant structure for new addition Interior remodel as required to accommodate new addition and reconfigure existing space  Addition of new basement space kitchen extension at first floor master bedroom and bath on second floor and new attic area game room
2015,Partial demo included additionremodel remodel office to master bedroom add of master bath and wood deck and interior remodel
2015,Partial demo for additionAddremodel new 2nd story bedroom addition over garage convert existing bedrm to playroom
2015,Partial demo of ext walls and roof demo Additionremodel convert ex storage at carport to new utilityroom carport to garage new roof new plumbing new electrical new HVAC replace windows garage door front door interior doors sheetrock insulation CONCRETE DRIVE MUST REMAIN GRAVEL IS NOT ALLOWED FOR A DRIVEWAY
2015,Partial demolition of accessory structure for new addition Existing partial garage to be converted into new office space Accessory use to primary only
2015,Partial demolitiondemo existing furnancelaundry closets to create hall to new master bedroom bath closet laundry multipurpose office room and furn closet
2015,partial demoremodel kitchen family room Add master bath and family room update HVACadd wood deck remodel front porch
2015,Interior remodel  Partial demolition  Interior remodel to cabana ONLY  Remove existing interior and exterior walls leaving posts and foundation and roof intact  Not increasing footprint
2015,Partial demoremove exising carport to build new two car garage with drivePartial demoremove exising carport to build new two car garage with drive REVISION no curb cut Existing drive remains new parking areaa 100 on the property
2015,partial demoaddition to expand master bedroom and bathroom
2015,Partial demolition to create 2nd story above attached garage remodel interior add screen porch and wood deck to rear repair exterior wall finish as needed
2015,Partial Demo and Interior Remodel  2 windows on west facade to be replaced by different sized windows  Remove interior kitchen walls remove and add new window in kitchen  New tile and plumbing fixtures in all existing bathrooms  Convert upstairs closet into new full bath  Reconfigure existing 2nd floor Bath 1 and Laundry  New cabinets paint front door fireplace surround and hearth at family room interior doors where shown on plans Nonstructural minor framing adjustments throughout
2015,partial demoremove attached wkshp and add 10' to the W side for  a study kitchen and utitlity room Add new attached one car garage Remodel existing bathrooms and sheetrock doors and windows
2015,partial demoadd of master bedroom bathroom closet suite and porch Exp of ele HVAC waterwastewater
2015,Partial demolition Additionremodel primary residence  Remodel existing primary residence first and second floor addition  Add 1 bedroom and 15 baths  Total existing square footage remodeled  1186  Total newadditional square footage  1690
2015,Partial demolition  Reduce size of existing garage
2015,Partial demo included addition of vestibule living laundry  and master suite
2015,Partial demo for addition addremod existing unconditioned shed as new cond laundry with addition to the back of the house New master bedrm masterbath and den new windows and doors interior remodel
2015,Partial demo of north ext wall for addition to sfr res enclose ext carport to living area Reconfigure kitchen and laundryroom area to new space updateremodel master bath and closet new siding and windows Revision 01 approved 9112015 Changed window sizes by kitchen and front door
2015,Partial demo of roof and rear for addition Master suite addition new siding new isulation relocate bathroom and remodel kitchen
2015,Partial demo of attached carport and replacing with new attached garage with new driveway
2015,Partial demolition at rear of existing residence for new addition First floor addition to include new kitchen area and covered deck Second floor addition to include new bedrooms with bathroom and covered deck  Interior remodel of existing first floor to accommodate new additions
2015,Partial Demo and Remodel to repair damage from fallen tree  Rebuild stairs interior to correct code problems  Remove interior wall install structural beam per engineering report  Minor framing drywall siding repairs finishes  Remove window and infill wall  Replace sliding door with new
2015,Partial Demolitionconvert carport to habitable space and add covered porch and foyer
2015,Partial Demolition and Repair termite damage  like for like  Enlarge opening and install wider patio door  Repair wall frame where damaged by termites 2x4 wall framing sheathing  Repair 2x10 ceiling joists where damaged by termintes  Remove  replace 6x6 columns damaged by termites
2015,Interior remodel  Partial Demolition  Master bath remodel to include larger shower and additional sink  Replacing windows throughout some redueced some enlarged  Remodel kitchendining areas remove nonload bearing partial wall  Remove concrete patio
2015,Partial demo of roof for additionremodel remodel 1st floor kitchen dining pantry raising living room floor level interior framing and trim replace garage door Addition 2nd floor new roof 3 bedrooms 2 bathrooms 1 laundryroom windows add 1st floor workroom storage 1 ext door stiarwell moving ext wall 2 addition extending soffit  ext roof lineREVISION the bay window will be removed entirely The foundationslab is to be chiseled down to pour over the top for stiars and they will use infill framing for the floor
2015,Partial demo of existing detached garage Addition to convert existing detached garage into screenedin porch wattached covered patio in rear of existing 1 story SF res  REVISION 1 submitted 2172016 Demo east wall rebuild with 6 ft clearance as required per Austin Energy  Previous screen porch square footage 306 now 250 sq ft  Previous patio square footage 120 now 96 sq ft
2015,Partial Demo Interior remodel includes wall reconfiguration to modify space from two bedroms into master bedroom and second bathroom upgades include electrical mecanical and plumbing work
2015,Partial demo for additio Additionremodel open floor plan btwn kitchen dining and living area master bedroom upstairs will change to a family room new addition of laundry room and master bedroom add full bath and 12 bath new electrical new wiring new tankless hot water heater new plumbing new HVAC in new maser bedroom new insulation new sheetrock new screen porch covered patio
2015,Partial demolition Additionremodel  Increase 1st floor sitting room 75sf  Install larger windows  Replace masonry at master bedroom  covered terace columns with cut limestone  Lower ceiling of existing terrace  New ceiling on 2nd floor balcony  new railngs  columns
2015,Partial demo of rear and side of home for addition Additionremodel enlarge livingroom and kitchen add bedroom bathroom add garage
2015,partial demoAdding to existing residence with master bedroom enlargement and new master bath Addition of utility room Increase front porch with deck overlay Change existing half bath to two bathrooms
2015,Interior remodel  Partial demolition  Remodel existing master bath to include new fixtures new doors and windows  New closet organization system  Replace sliding doors at master bedroom
2015,Partial Demo Renovation of existing covered patio to conditioned space Adding office at 2nd floor Removing front door at existing noncomplying portion and closing in to create a wall Not increasing degree of noncompliance
2015,Partial demo to remove existing covered patio on rear of residence  Addition of a new covered patio in rear of existing 1 story SF res
2015,Interior remodel Partial demolition  Addition of wall and overhead doors to attached covered carport to convert to garage Removal of exterioraccessed storagecloset space and doors  Removal of window and door in exterior wall of master bedrom currently opening to carport  Installation of new exterior door to rear of area installation of windows to west new wall
2015,Partial demolitionadd study utility area that includes a laundry room coat closet and powder room Remodel family room Master suite to include removal or installation of windows doors and skylight Repermit exp permit 14097800 MP
2015,Partial demolition of attached covered balcony Addition of new coveredscreened balcony at rear of duplex
2015,Interior remodel  Partial demolition  Kitchen remodel  Powder remodel  Upstairs bathroom remodel  Expand eastfacing kitchen window  New southfacing kitchen window
2015,Interior remodel  Partial demolition  Replacing roof and deck Framing to be replaced asneeded in field and verified by inspector
2015,Partial Demo for guest apartment addition over attached garage
2015,Partial demoAddition  of 2 bedrooms 1 bathroom and 1 family room to existing SFR Window changing to doorway
2015,partial democonstuction of 1600 sf addition to sing fam res
2015,Partial demo of existing 2story rear dwelling unit for a complete interior remodel along with relcoation of windows and doors a new roof and interior walls
2015,Partial demo  to remove existing covered porch  rear decks and deck stairs  Addition of a new front covered porch and new attached 1st FL rear uncovered wood deck to existing 2 story SF res
2015,Partial Demolition and Interior Remodel  New front door and windows  Replace deteriorated wood on front porch  Remodel of existing 2 story residence  Remodel includes expanded Kitchen updated Master Bath new front door and converting a closet to Laundry and Laundry to Pantry  New paint and finishes inside and new paint and landscaping outside  Converting one large upstairs Bedroom into 2 Bedrooms with a new entrance in the Bathroom  New Guest Room entrance  installation of new synthetic lawn areas  Existing noncomplying residence in side setback not affected by work in this permit  Revision 12182015 Added mechanical permit for vent hood and return air
2015,PARTIAL DEMO for additionremodel 1st floor 4 car garage woodshop covered patio and mudroom 2nd floor 2 bedrooms 1 bathroomm room hall new bay window balcony deck new required conc or pavement driveway min 12 ft max 25 ft
2015,Interior remodel  Partial Demolition  Remove and replace all framing interior doors and trim all cabinets and countertops remove fireplace  Enlarge master shower 12 both directions  New plumbing fixtures and appliances  Move AC unit to attic and enlarge pantry  Add a window where fireplace was make master bath window smaller for shower  Change 2 bedroom closet doors to larger door opening
2015,Partial Demolition Int remodel includes wall reconfiguration for kitchen bathrooms and closet improvement upgrades includes doors and window replacements electrical  and plumbing work
2015,Partial demo of deck remove exist window and install french doors Addremodel workshop  SE corner of home new hobbyroom  NW corner of home with covered porch removed existing entry closet and abandoned ac closet and built utilityroom Addressing expired permit BP 83013439 Addressing active code violation as well
2015,Partial demo of front porch and shed overhang exisiting home is 173892 sq ft conditioned area per the dim on the plot plan of that 458 sq ft will be removed and the new addition will total 2294 sq ft conditioned home Addremodel removerelocate kitchen to add 2 bathrooms bedroom addition new area will include livingroom kitchen and diningroom reroof electrical upgrade window replacements
2015,Partial demolition  Roof repairs covered entry porch repairs relocating spiral stairs to exterior of structure and replacing them with wood stairs  Remodel 1st floor bath  utility room  Replace deck and exterior doors as shown on plans
2015,partial demoaddition of bedroom new cabinents in kitchen new drywall in dining room
2015,Partial Demo and Interior Remodel  Remodel kitchen  dining area  Adding skylights  Vault ceiling at dining room  Remove  infill 2 windows  Remove 2 windows and replace with smaller windows  Replace all cabinetry in kitchen  New and revised roofceiling framing and wall bracing per plans
2015,partial demo interior remodel new masters and 12 bath kitchen update electircal HVAC plumbing Enclose existing covered porch add rear patio and extend front porch
2015,partial demo included addition of bedroom bath kitchen and remodel interior dining office and bathroom
2015,Partial demo of existing 1story single family residence for a 2story rear addition  Addition to include enlarged master bedroom suite dining area kitchen study stairs to 2nd floor summer kitchen and covered rear porch on the first floor 2 bedrooms 1 bathroom loft space and sundeck on the 2nd floor
2015,Partial demo of existing single story duplex for a rear 2story addition to both units  Front portion of existing duplex to be converted into a 2car carport unit B storage and 1car carport Unit A  Each unit to have 3 bedrooms 3 bathrooms first floor office and 2nd floor rear balcony off of bedroom
2015,Partial demolition  Second floor addition enlarge front and rear porches Include expired permit 2011027956 BP  MP
2015,Partial demo of roof over garagekitchen int garage wall additionremodel new add garage area new 2 story master bedrm above garage kitchen utility several walls will be removedadded downstairs for powder room and larger utility room Window replace and window added replace windows at the breakfast area and kitchen areaRevision roof overhang out of the easement
2015,Partial demolitionadd of covered porch dining room office and storage Reconfigure kitchen to add pantry and garage to add utility room space
2015,Partial demo for bath additionremodel to existing duplex unit B
2015,Interior remodel  Partial demolition  Repair existing deck and replace deck boards with concrete decking  Add new footings  Add new stairs from deck to concrete patio  Change railings from wood to wrought ironOwner RevisionThe deck and wood frame walls have been removed from the scope of workRailing will subject to field inspectionRoof over bay window to be field inspected
2015,Interior remodel  Partial Demolition  Remove and replace doors and windows and change some sizes  Vault ceilings and change some interior wall locations  New plumbing hvac and electric  Replace drwall trim and doors  Install garage overhead door  New decking on front porch  Replace privacy fence that is existing with new fence
2015,Partial demolition of existing single family residence for a 2nd level bridge addition to connect a 2story addition in the rear of the property  Addition to include a guest bedroom bathroom and office on the first floor with a master bedroom suite on the 2nd level   Remodel 1st floor to add stairs leading to second floor
2015,Partial demolition of existing legal noncomplaint structure for new addition First floor addition to include new living room area and half bath Second floor addition to include new office and master closet Interior remodel as required to accommodate new addition
2015,Partial Demo and Remodel  Removing a front wall of home and replacing it with a new wall  Replacing deck above it two levels of deckingrailing  Remove steps and replace with steel steps  Revision 1062015 Electrical permit added  Need to disconnect switches junction boxes  move a little 25 ft approx romex out of the way in order to rebuild a wall
2015,Partial demo for window garage conversion to living area
2015,Partial demolition of noncomplying structure for new addition Addition to existing residence on the first floor to include new master bath utility room front porch rear covered patio and carport New second floor addition to include game room bedrooms and bathrooms Interior remodel to reconfigure first floor to accommodate second floor addition Trade permit as required for the work above Repermitting expired  2011047234 MP for change out of hvac system to res only
2015,Partial demo back wall addition of 16sqft Returning to original footprint Relocating door and window
2015,Partial demolition at left side of existing residence for new addition First floor addition to include new bathroom bedroom extension laundry room and stairs with nook Second floor addition to 2 bedrooms hall bathroom and living room
2015,Partial Demo Int Remodel Roof reconfig with mechanical electrical and plumbing upgrades
2015,Partial demo for addition Addition to expant bedroom new bathroom and closet
2015,Partial demo for addition addition to living new covered porch
2015,Partial demo of exterior deck Addition of a 2 story level deck and wood bridge connecting both the primary residence and guest house
2015,Partial demolition  Convert existing detached garage into accessory dwelling unit  One bedroom one bath
2015,Interior remodel  Partial Demolition  Removing lower wood decks and replacing with concrete flatwork  Adding concrete flatwork under upper wood deck NO ITERIOR WORK PER OWNER ONLY ADDED FLAT WORK
2015,COC Partial demo garagestorage area add a new 2 story addition w 1 story screened porch and attached will be added renovate existing rolling in PP14032065
2015,Partial demo of laundryroom for addition Addition off kitchen to provide additional living space new uncovered wood deck Rear shed relocated out the utility easement
2015,partial demosunroom enclose patio with windows
2015,Partial demo of storage south side west side and part of the north side for additionremodel Additionremodel add master bathrom master 2nd bathroom laundryroom 2nd living area new attached carport deck
2015,partial demoremove portion of rear deck and stairs on primary res interior remodel master bathkitchensecondary baths replace windowssiding Repermit expired 14117279 MP 14124879 EP for HVAC work
2015,Revision 2116  add bathroom and closet to gameroom above garagePartial demo on secondary legal non complying structure removing current unpermitted deck and stairs will replace with new exterior stairs and landing
2015,Partial Demo  to add window  wall removal to be replaced with new beam
2015,Partial demolition for 2nd story addition interior remodel MEP addition of covered porch att one car garage
2015,Partial demo and Interior Remodel  Add window to side wall  Interior remodel of Kitchen and Master Bathroom  Existing noncomplying residence 02' over lot line to remain no changes to footprint
2015,partial demo1 bedroom and 1 bathroom addition over garage Expand dining room exterior wall out 78 sqft
2015,Partial Demolition and Remodel  Partial demolition exterior walls at laundry room to be demolished existing roof at laundry room to be demolished and replaced with improved similar structure of same size  Convert existing laundry room to covered porch at rear  Enclose existing carport leave as unconditioned garage  Demolish existing masonry fireplace  chimney replace with sliding door  wall  Renovate existing kitchen move laundry to existing mudroom  Renovate existing bathroom  Add new HVAC ducts to kitchen  bathrooms  Existing noncomplying wall in setback to remain not affected by this permit
2015,Partial demolition at rear of existing legal noncomplying residence for new addition Addition of front porch carport rear covered patio office extension and new stairs located at first floor Second floor addition to include new bedrooms and new bathroom Also change out water heater
2015,Partial demolition foundation repair siding windows and door replacement Drive repair Deck replacement Interior remodel of rooms add of extra room to front of house
2015,Partial Demo Int Remodel include modifying walls to reduce laundry area and to add a master bath Upgrades include electric mechanical and plumbing work
2015,Partial demo Interior remodel to add one window to an exterior wall
2015,Partial Demolition to remove west stair  dormer and rear dormer  Interior Remodel to include replacing drywall insulation wiring plumbing HVAC windows roof  Remove exterior staircasedormer  return to original roof  Move some interior walls  Add interior staircase  Replace flat roof on existing addition with matching gable roof as existing roof
2015,Partial demo carport and utilityroom roof replace shingles with metal sheet replace all wood siding with fiber cement siding replace all 10 windows replace all doors front back sliding new HVAC interior remodel to sf res new interior doors repair sheetrock as needed kitchen remodel bathroom remodel lighting and fixtures replace water hater replaced merge master and bedroom3 and add closet expand bedroom Include work from expired permit 2007136461 BP PP MP to Finishout interior demolition  repair fire damage to existing residence refer to existing permits 06005529 and 06018599
2015,Partial demo of the rear wood deck sliding door and fireplace Addition new sliding doors patch and repair ceiling and roof new screened in porch new wood deck
2015,Partial demo of exterior left wall partial roof above partial front left corner veneer all flooring kitchen partial stairwell Additionremodel enlarging guestroom with bath WIC additionremodel to the sittingsunroom addition of master bedroom closets enlarging bathroom kitchen remodel stairs remodel window replacement new doorsreplace
2015,Partial demo to about 60at rear of existing home for new addition Addition to include first floor addition and second floor addition Interior remodel to accommodate new addition Trade permit as required for work above
2015,Interior remodel  Partial Demolition  Kitchen remodel
2015,Interior remodel  Partial Demolition  Add interior wall to create bedroom  Relocate front door  Fill in back door and add new back door  Relocate one bathroom  Add center airheat
2015,Partial demo of portion of front wall for garage door removal of 2 door units for one door unit at rear of house Flooring over double height entry space adding garage door replacing 2 sliding doors with a single sliding door
2015,Partial demo of front facade only at sructural protrusion at front door Additionremodel Replacing all windows and siding of the home Adding a permanent cover over the stoop at the front door Adding back upper uncovered wood deck that will be accessed from the exterior by spiral staircase
2015,Interior remodel  Partial demolition  Installing 3'x5' windows separated by a frame  Single hung to match existing windows throughout  Header height is at 6'8
2015,Partial demo and Interior remodel  Remove all siding and replace w Hardie siding remove windows 2 will be different sizes  Paint brick  There are 3 rotten beam ends  entry  we'll cut those back behind the fascia  Inside we'll replace all flooring base doors  hardware remove popcorn clg texture remove  replace kitchen cabinets and replace 2 windows with different sized windows  Bath 2 gets enlarged but total fixture count remains the same  Include work from expired permit 2014046019PP replacement of water heater to existing residence only and 1996010084 BP Enclosed Patio Addition To Exist Sf Residence
2015,Interior remodel  Partial demolition  Demo framing walls moving kitchen large walkin bathroom renovation plumbing electrical concrete trenching new windows sheetrock painting new HVAC unit
2015,Partial Demo and Interior Remodel  New window in Kitchen replacement window for sliding glass door in Living room  Kitchen renovation new flooring in Kitchen Dining  Living rooms new media cabinet new tile around fireplace  Existing noncomplying deck in easement not affected by work in this permit
2015,Interior remodel  Partial demolition  Demolition of all interior walls  New floor plan as outlined in architect's plans  Foundation leveling and cap supportspiers  New gabled roof and new door placement on north side and south side  One bathroom is being added  New sewer line and new gas lines  All new MEP  Existing exteior walls will remain and repaired where needed  All new windows an doors throughout
2015,Partial Demo  Replacement of window in the front of the house with a larger window  Existing noncomplying residence in setback to remain not affected by work in this permit   Revision approved 942015 Removal of existing triangleshaped grate and insert triangle shaped window in its place  The interior cathedral ceiling angle matches the angle of the triangle grate existing  No interior changesalterations are necessary for the new triangleshaped window  Ceiling may have been raised in past without permit work to be included with this permit
2015,Partial Demolition and Remodel Repair replacingrepairing front porch  During foundation repair the entrance hall and front columns had to be removed  Buildingit back as it was adding handrails to the stairs replacing the columns  Replace rotted siding paint exterior  Not changing the footprint of the hourse or adding square footage
2015,partial demoadditionremodel to add den master suite and new carport former garage will now be conditioned space
2015,Partial demo of front wall deck and roof Addition extention of livingrm new screened porch with decking added utilityrm add front covered porch Remodel 2 bathrooms kitchen window replacement roof replacement siding replacement Repermit 00018348 Remodel Interior  To Existing Sf Res
2015,Partial demolition at side of existing single family residence for new2story addition  First floor addition to include new kitchen extension and pantry Second floor addition to include new master bathroom Interior remodel to reconfigure the kitchen area to accommodate new addition
2015,partial Demolition Interior remodel with window retrofit includes overall int wall reconfiguration and room improvements upgrades include mechanical electrical and plumbig work
2015,Partial Demo Interior remodel removal of several exterior walls Framing new walls to remodel plan floor plan All sheet rock to be removed House electrical to be completely rewired with ground New main panel and subpanel New HVAC system with ducting
2015,Partial demolition Interior remodel includes kitchen dining and living area improvements with replacement and reconfiguration of windows Upgrade includes electrical and plumbing work
2015,partial demo addition remodel to sf res partial garage conversion Remodel kitchen bath vault ceiling in living room partial removal of wall between living and dining room
2015,Partial demo for addition Removal of driveway add curbnew curb new driveway apron with driveway runners for new garage area removal of impervious coverage to met the required 45 max removal of rear shed remove outdoor kitchen with overhead arbor New 2 closets in masterbedrm and 2nd bedroom with bathroom add add'l bathroom add living area with fireplace new garage area
2015,Partial demo of the deck front area for addition Addremodel demo kitchen area and remodel new screened in porch in the rear of the home with new wood deck The front elevation of the home will be expanded for additional conditioned area new front canopy over porch  Revision 081915  revision includes remodel to the master bathroom  Work includes removing the existing bathtub and replacing it with a shower  A skylight will be added above the new shower  The existing cabinets and millwork will be demolished and replaced  An additional sink wil be added to the vainity to make it a double vanity  The existing door to the master bathroom will be demolished and replaced with sliding barn door  New tile will be instaleld at the floor and walls of the shower
2015,Partial demolition  Remoldeladdition  Convert existing patio to master bath  Addition of second floor to create two bedrooms and full bath  Replacement of existing windows and exterior doors New HVAC  New siding and roofing
2015,Partial demo of back areawall for expansion Additionremodel  livingrm expansion new uncovered deck new bbq with cover area
2015,Partial demolition  Attic addition of master suit office and extra bath Rolling in expired permits 07173393 30 sqft laundry area  One additional bedroom 2 additional baths
2015,Interior remodel  Partial demolition  Remove and repair approximately 20'0 of damaged limestone at the east exterior wall of the residence  Remove repair and straighten a portion of th edmaaged interior sheetrock walls and ceilings located on the west wall of the master bedroom closets and middle bedroom of the residence  Remove and reset two outlet face plates  Install new sheetrock tape float texture prime and paint  Remove and replace existing carpet in the master bedroom and middle bedroom
2015,partial democomplete remodel of 1 story sing fam res rebuild of existing living and master suite existing footprint to remain repermit 88015199 MP
2015,Partial Demolition and Addition Remodel  2nd floor addition for Master Suite enlargement bathroom addition new flooring on 2nd floor pantry remodel
2015,Partial demo of existing single family residence for 1story and 2story additions under LDC section 252963 F along with a mainly interior gutremodel of the existing house  First floor addition for a new kitchen screen porch laundry bathroom bedroom storage stairs to 2nd floor  2nd floor addition to have a lounge space and porch  PV panels over flatroof section of addition
2015,partial demo included kitchen remodel to demo exterior walls and add space under existing beams add stair to attic space to convert to office
2015,Partial demolition at rear and roof of sfres for new addition Addition to existing residence on the first floor to include new master bath New second floor addition to include new stairs Interior remodel to reconfigure first floor to accommodate second floor addition Trade permit as required for the work above
2015,Partial demoDemo interior walls windows roof siding rear room car port front porch baths and kitchen Demo all plumbing and electric Rebuild new walls per plan Install new metal roof and structure Install new windows and door Install new plumbing and fixtures Install new electric and mechanical Install new floors dry wall and insulation Install new piers per new floor plan Install new floor joist per structural plan Rebuild roof structure per plan Build storage at 2nd floor
2015,Partial demo of screens screen porch walls infill remove bedroom wall  S exterior wall inside of screen porch Expand bedroom into existing screened porch footprint Convert existing screen porch to excercise room All expansion under existing roof footprint
2015,Partial demo of existing 1story single family residence for a first and second floor addition  Remodel scope of work to include new siding new windows and an interior remodel to the existing first floor  Addition to include new living room new covered front porch  stair to second floor on the first floor 3 new bedrooms on the 2nd floor along with 2 bathrooms uncovered deck over front porch  spiral stair to uncovered roof deck
2015,Partial demo of existing single family residence for 1st floor and 2nd floor additions
2015,Repermitting expired detached garage permits for a partial demo and conversion into a second dwelling unit with an attached via a trellis carport with storage side yard setback approved by BOA  See BOA approval 2016000085
2015,Partial demolition  New accessory dwelling to existing primary structure in existing garage structure with expired permit  Roll in expired permits for garage 2008 028114 BP  2008 028114PP
2015,Partial Demolition add new exterior window  Interior Remodel of Master Bedroom and Bath  New finish materials and fixtures elsewhere  Include work from expired permit 2013112550 MP Change out hvac system to res only
2015,Partial demolition included  AdditionRemodel of existing singlestory singlefamily residence  Addition will add 485sf of new 1st floor area 500sf of new 2nd floor area and 285sf of new covered porchpatio area  Remodel per plans   Upon completion the twostory residence will have 4 bedrooms and 35 bathrooms
2015,Partial demolition one story addition for a new bathroom Interior remodel of primary residence
2015,Partial demo of rear wall and front covered porch Additionremodel new master bedrm bath WIC larger expanded kitchen area with a hallway connection btwn the building wings new patio with trellis new front covered porch Livingroom remodel diningrm is to be added by removal of kitchen area and expansion of the kitchen walls and cabinets removed for open space add sitting area by prop kitchen Dining and livingrm ceiling vaulted with new beam added under ex ridge2 front bedrms unchanged but doors and windows as noted 8 ft ceilings The 3rd bedrm will be remodeled adding walls for closet closet for HVAC linen and new laundryrm All windows replaced
2015,Partial demo of back ext wall small areas of rt elevation for addition  Adding and interior remodel of  master bedroom bathroom closet new room upstairs remodel bath to laundryroom Addition of covered porch is NOT part of this permit
